Date,Close
02/01/2018 16:00:00,53.25
03/01/2018 16:00:00,54.12
04/01/2018 16:00:00,54.32
05/01/2018 16:00:00,55.11
08/01/2018 16:00:00,55.35
09/01/2018 16:00:00,55.31
10/01/2018 16:00:00,55.13
11/01/2018 16:00:00,55.28
12/01/2018 16:00:00,56.11
16/01/2018 16:00:00,56.09
17/01/2018 16:00:00,56.6
18/01/2018 16:00:00,56.49
19/01/2018 16:00:00,56.88
22/01/2018 16:00:00,57.79
23/01/2018 16:00:00,58.5
24/01/2018 16:00:00,58.21
25/01/2018 16:00:00,58.52
26/01/2018 16:00:00,58.79
29/01/2018 16:00:00,58.78
30/01/2018 16:00:00,58.18
31/01/2018 16:00:00,58.5
01/02/2018 16:00:00,58.39
02/02/2018 16:00:00,55.6
05/02/2018 16:00:00,52.79
06/02/2018 16:00:00,54.03
07/02/2018 16:00:00,52.43
08/02/2018 16:00:00,50.08
09/02/2018 16:00:00,51.89
12/02/2018 16:00:00,52.6
13/02/2018 16:00:00,52.61
14/02/2018 16:00:00,53.49
15/02/2018 16:00:00,54.48
16/02/2018 16:00:00,54.74
20/02/2018 16:00:00,55.12
21/02/2018 16:00:00,55.57
22/02/2018 16:00:00,55.33
23/02/2018 16:00:00,56.34
26/02/2018 16:00:00,57.19
27/02/2018 16:00:00,55.91
28/02/2018 16:00:00,55.24
01/03/2018 16:00:00,53.48
02/03/2018 16:00:00,53.95
05/03/2018 16:00:00,54.55
06/03/2018 16:00:00,54.75
07/03/2018 16:00:00,55.48
08/03/2018 16:00:00,56.3
09/03/2018 16:00:00,58
12/03/2018 16:00:00,58.23
13/03/2018 16:00:00,56.91
14/03/2018 16:00:00,57.47
15/03/2018 16:00:00,57.48
16/03/2018 16:00:00,56.79
19/03/2018 16:00:00,54.99
20/03/2018 16:00:00,54.89
21/03/2018 16:00:00,54.54
22/03/2018 16:00:00,52.45
23/03/2018 16:00:00,51.08
26/03/2018 16:00:00,52.66
27/03/2018 16:00:00,50.26
28/03/2018 16:00:00,50.23
29/03/2018 16:00:00,51.59
02/04/2018 16:00:00,50.32
03/04/2018 16:00:00,50.67
04/04/2018 16:00:00,51.26
05/04/2018 16:00:00,51.39
06/04/2018 16:00:00,50.35
09/04/2018 16:00:00,50.77
10/04/2018 16:00:00,51.58
11/04/2018 16:00:00,51
12/04/2018 16:00:00,51.63
13/04/2018 16:00:00,51.46
16/04/2018 16:00:00,51.9
17/04/2018 16:00:00,53.71
18/04/2018 16:00:00,53.6
19/04/2018 16:00:00,54.39
20/04/2018 16:00:00,53.65
23/04/2018 16:00:00,53.37
24/04/2018 16:00:00,51
25/04/2018 16:00:00,51.06
26/04/2018 16:00:00,52
27/04/2018 16:00:00,51.5
30/04/2018 16:00:00,50.87
01/05/2018 16:00:00,51.87
02/05/2018 16:00:00,51.22
03/05/2018 16:00:00,51.19
04/05/2018 16:00:00,52.41
07/05/2018 16:00:00,52.74
08/05/2018 16:00:00,52.7
09/05/2018 16:00:00,54.14
10/05/2018 16:00:00,54.88
11/05/2018 16:00:00,54.91
14/05/2018 16:00:00,55.01
15/05/2018 16:00:00,53.96
16/05/2018 16:00:00,54.09
17/05/2018 16:00:00,53.93
18/05/2018 16:00:00,53.32
21/05/2018 16:00:00,53.98
22/05/2018 16:00:00,53.49
23/05/2018 16:00:00,53.98
24/05/2018 16:00:00,53.96
25/05/2018 16:00:00,53.78
29/05/2018 16:00:00,53.02
30/05/2018 16:00:00,53.39
31/05/2018 16:00:00,54.25
01/06/2018 16:00:00,55.98
04/06/2018 16:00:00,56.96
05/06/2018 16:00:00,56.98
06/06/2018 16:00:00,56.84
07/06/2018 16:00:00,56.19
08/06/2018 16:00:00,56.04
11/06/2018 16:00:00,56.5
12/06/2018 16:00:00,56.97
13/06/2018 16:00:00,56.74
14/06/2018 16:00:00,57.61
15/06/2018 16:00:00,57.61
18/06/2018 16:00:00,58.67
19/06/2018 16:00:00,58.4
20/06/2018 16:00:00,58.49
21/06/2018 16:00:00,57.88
22/06/2018 16:00:00,57.77
25/06/2018 16:00:00,56.24
26/06/2018 16:00:00,55.92
27/06/2018 16:00:00,55.2
28/06/2018 16:00:00,55.71
29/06/2018 16:00:00,55.78
02/07/2018 16:00:00,56.37
03/07/2018 13:00:00,55.14
05/07/2018 16:00:00,56.21
06/07/2018 16:00:00,57.01
09/07/2018 16:00:00,57.7
10/07/2018 16:00:00,57.64
11/07/2018 16:00:00,57.7
12/07/2018 16:00:00,59.17
13/07/2018 16:00:00,59.44
16/07/2018 16:00:00,59.19
17/07/2018 16:00:00,59.94
18/07/2018 16:00:00,59.79
19/07/2018 16:00:00,59.35
20/07/2018 16:00:00,59.25
23/07/2018 16:00:00,60.28
24/07/2018 16:00:00,62.4
25/07/2018 16:00:00,63.19
26/07/2018 16:00:00,63.42
27/07/2018 16:00:00,61.93
30/07/2018 16:00:00,60.99
31/07/2018 16:00:00,60.86
01/08/2018 16:00:00,61
02/08/2018 16:00:00,61.31
03/08/2018 16:00:00,61.19
06/08/2018 16:00:00,61.24
07/08/2018 16:00:00,62.11
08/08/2018 16:00:00,62.28
09/08/2018 16:00:00,62.46
10/08/2018 16:00:00,61.88
13/08/2018 16:00:00,61.75
14/08/2018 16:00:00,62.11
15/08/2018 16:00:00,60.72
16/08/2018 16:00:00,60.32
17/08/2018 16:00:00,60.05
20/08/2018 16:00:00,60.39
21/08/2018 16:00:00,60.08
22/08/2018 16:00:00,60.37
23/08/2018 16:00:00,60.27
24/08/2018 16:00:00,61.03
27/08/2018 16:00:00,62.09
28/08/2018 16:00:00,61.56
29/08/2018 16:00:00,62.47
30/08/2018 16:00:00,61.96
31/08/2018 16:00:00,60.91
04/09/2018 16:00:00,59.85
05/09/2018 16:00:00,59.32
06/09/2018 16:00:00,58.57
07/09/2018 16:00:00,58.24
10/09/2018 16:00:00,58.23
11/09/2018 16:00:00,58.87
12/09/2018 16:00:00,58.14
13/09/2018 16:00:00,58.77
14/09/2018 16:00:00,58.63
17/09/2018 16:00:00,57.8
18/09/2018 16:00:00,58.06
19/09/2018 16:00:00,58.55
20/09/2018 16:00:00,59.34
21/09/2018 16:00:00,58.3
24/09/2018 16:00:00,58.67
25/09/2018 16:00:00,59.23
26/09/2018 16:00:00,59.02
27/09/2018 16:00:00,59.73
28/09/2018 16:00:00,59.67
01/10/2018 16:00:00,59.77
02/10/2018 16:00:00,60.01
03/10/2018 16:00:00,60.15
04/10/2018 16:00:00,58.41
05/10/2018 16:00:00,57.87
08/10/2018 16:00:00,57.45
09/10/2018 16:00:00,56.94
10/10/2018 16:00:00,54.06
11/10/2018 16:00:00,53.97
12/10/2018 16:00:00,55.5
15/10/2018 16:00:00,54.61
