Date,Close
02/01/2018 16:00:00,24.51
03/01/2018 16:00:00,24.45
04/01/2018 16:00:00,23.99
05/01/2018 16:00:00,24.32
08/01/2018 16:00:00,24.59
09/01/2018 16:00:00,24.17
10/01/2018 16:00:00,24.25
11/01/2018 16:00:00,24.35
12/01/2018 16:00:00,25.41
16/01/2018 16:00:00,24.66
17/01/2018 16:00:00,24.56
18/01/2018 16:00:00,24.04
19/01/2018 16:00:00,23.66
22/01/2018 16:00:00,23.32
23/01/2018 16:00:00,22.75
24/01/2018 16:00:00,22.37
25/01/2018 16:00:00,22.16
26/01/2018 16:00:00,24.27
29/01/2018 16:00:00,25.18
30/01/2018 16:00:00,25.62
31/01/2018 16:00:00,25.81
01/02/2018 16:00:00,27.14
02/02/2018 16:00:00,25.92
05/02/2018 16:00:00,25.13
06/02/2018 16:00:00,25.24
07/02/2018 16:00:00,26.91
08/02/2018 16:00:00,30.18
09/02/2018 16:00:00,31.51
12/02/2018 16:00:00,30.95
13/02/2018 16:00:00,33.44
14/02/2018 16:00:00,33.75
15/02/2018 16:00:00,33.61
16/02/2018 16:00:00,33.06
20/02/2018 16:00:00,32.84
21/02/2018 16:00:00,33.38
22/02/2018 16:00:00,32.11
23/02/2018 16:00:00,32.66
26/02/2018 16:00:00,32.16
27/02/2018 16:00:00,31.32
28/02/2018 16:00:00,31.86
01/03/2018 16:00:00,32.24
02/03/2018 16:00:00,33
05/03/2018 16:00:00,34.58
06/03/2018 16:00:00,34.43
07/03/2018 16:00:00,35.76
08/03/2018 16:00:00,34.85
09/03/2018 16:00:00,35.35
12/03/2018 16:00:00,35.5
13/03/2018 16:00:00,34.11
14/03/2018 16:00:00,36.6
15/03/2018 16:00:00,35.8
16/03/2018 16:00:00,35.58
19/03/2018 16:00:00,34.98
20/03/2018 16:00:00,31.35
21/03/2018 16:00:00,32.73
22/03/2018 16:00:00,31.2
23/03/2018 16:00:00,31.03
26/03/2018 16:00:00,31.91
27/03/2018 16:00:00,28.07
28/03/2018 16:00:00,28.45
29/03/2018 16:00:00,29.01
02/04/2018 16:00:00,28.04
03/04/2018 16:00:00,27.54
04/04/2018 16:00:00,28.25
05/04/2018 16:00:00,28.64
06/04/2018 16:00:00,28.1
09/04/2018 16:00:00,28.01
10/04/2018 16:00:00,29.53
11/04/2018 16:00:00,29.39
12/04/2018 16:00:00,29
13/04/2018 16:00:00,28.76
16/04/2018 16:00:00,28.58
17/04/2018 16:00:00,31.84
18/04/2018 16:00:00,31.54
19/04/2018 16:00:00,31.54
20/04/2018 16:00:00,31.91
23/04/2018 16:00:00,31.22
24/04/2018 16:00:00,30.47
25/04/2018 16:00:00,29.75
26/04/2018 16:00:00,30.27
27/04/2018 16:00:00,29
30/04/2018 16:00:00,30.31
01/05/2018 16:00:00,30.3
02/05/2018 16:00:00,30.55
03/05/2018 16:00:00,30.67
04/05/2018 16:00:00,31.04
07/05/2018 16:00:00,31.33
08/05/2018 16:00:00,31.85
09/05/2018 16:00:00,32.46
10/05/2018 16:00:00,32.87
11/05/2018 16:00:00,32.75
14/05/2018 16:00:00,33.39
15/05/2018 16:00:00,32.75
16/05/2018 16:00:00,32.77
17/05/2018 16:00:00,32.58
18/05/2018 16:00:00,32.63
21/05/2018 16:00:00,33.63
22/05/2018 16:00:00,32.86
23/05/2018 16:00:00,33.42
24/05/2018 16:00:00,33.52
25/05/2018 16:00:00,33.63
29/05/2018 16:00:00,34.04
30/05/2018 16:00:00,34.36
31/05/2018 16:00:00,34.7
01/06/2018 16:00:00,36.65
04/06/2018 16:00:00,37.88
05/06/2018 16:00:00,39.8
06/06/2018 16:00:00,40.1
07/06/2018 16:00:00,39.7
08/06/2018 16:00:00,41.21
11/06/2018 16:00:00,41.42
12/06/2018 16:00:00,43.49
13/06/2018 16:00:00,44.07
14/06/2018 16:00:00,46.76
15/06/2018 16:00:00,45.8
18/06/2018 16:00:00,46
19/06/2018 16:00:00,44.95
20/06/2018 16:00:00,46.13
21/06/2018 16:00:00,45.24
22/06/2018 16:00:00,45.88
25/06/2018 16:00:00,44.17
26/06/2018 16:00:00,44.84
27/06/2018 16:00:00,43.7
